SOC Code,Title,soc_lvl_3
11-1011,Chief Executives,chief-executives-111011
11-1021,General and Operations Managers,general-and-operations-managers-111021
11-1031,Legislators,legislators-111031
11-2011,Advertising and Promotions Managers,advertising-and-promotions-managers-112011
11-2021,Marketing Managers,marketing-managers-112021
11-2022,Sales Managers,sales-managers-112022
11-2032,Public Relations Managers,public-relations-managers-112032
11-2033,Fundraising Managers,fundraising-managers-112033
11-3012,Administrative Services Managers,administrative-services-managers-113012
11-3013,Security Managers,security-managers-113013
11-3021,Computer and Information Systems Managers,computer-and-information-systems-managers-113021
11-3031,Investment Fund Managers,investment-fund-managers-113031
11-3051,Industrial Production Managers,industrial-production-managers-113051
11-3061,Purchasing Managers,purchasing-managers-113061
11-3071,"Transportation, Storage, and Distribution Managers",transportation-storage-and-distribution-managers-113071
11-3111,Compensation and Benefits Managers,compensation-and-benefits-managers-113111
11-3121,Human Resources Managers,human-resources-managers-113121
11-3131,Training and Development Managers,training-and-development-managers-113131
11-9013,"Farmers, Ranchers, and Other Agricultural Managers",farmers-ranchers-and-other-agricultural-managers-119013
11-9021,Construction Managers,construction-managers-119021
11-9031,"Education and Childcare Administrators, Preschool and Daycare",education-and-childcare-administrators-preschool-and-daycare-119031
11-9032,"Education Administrators, Kindergarten through Secondary",education-administrators-kindergarten-through-secondary-119032
11-9033,"Education Administrators, Postsecondary",education-administrators-postsecondary-119033
11-9039,"Education Administrators, All Other",education-administrators-all-other-119039
11-9041,Architectural and Engineering Managers,architectural-and-engineering-managers-119041
11-9051,Food Service Managers,food-service-managers-119051
11-9071,Gambling Managers,gambling-managers-119071
11-9072,"Entertainment and Recreation Managers, Except Gambling",entertainment-and-recreation-managers-except-gambling-119072
11-9081,Lodging Managers,lodging-managers-119081
11-9111,Medical and Health Services Managers,medical-and-health-services-managers-119111
11-9121,Natural Sciences Managers,natural-sciences-managers-119121
11-9131,Postmasters and Mail Superintendents,postmasters-and-mail-superintendents-119131
11-9141,"Property, Real Estate, and Community Association Managers",property-real-estate-and-community-association-managers-119141
11-9151,Social and Community Service Managers,social-and-community-service-managers-119151
11-9161,Emergency Management Directors,emergency-management-directors-119161
11-9171,Funeral Home Managers,funeral-home-managers-119171
11-9179,"Personal Service Managers, All Other",personal-service-managers-all-other-119179
11-9199,"Managers, All Other",managers-all-other-119199
13-1011,"Agents and Business Managers of Artists, Performers, and Athletes",agents-and-business-managers-of-artists-performers-and-athletes-131011
13-1021,"Buyers and Purchasing Agents, Farm Products",buyers-and-purchasing-agents-farm-products-131021
13-1022,"Wholesale and Retail Buyers, Except Farm Products",wholesale-and-retail-buyers-except-farm-products-131022
13-1023,"Purchasing Agents, Except Wholesale, Retail, and Farm Products",purchasing-agents-except-wholesale-retail-and-farm-products-131023
13-1031,"Claims Adjusters, Examiners, and Investigators",claims-adjusters-examiners-and-investigators-131031
13-1032,"Insurance Appraisers, Auto Damage",insurance-appraisers-auto-damage-131032
13-1041,Environmental Compliance Inspectors,environmental-compliance-inspectors-131041
13-1051,Cost Estimators,cost-estimators-131051
13-1071,Human Resources Specialists,human-resources-specialists-131071
13-1074,Farm Labor Contractors,farm-labor-contractors-131074
13-1075,Labor Relations Specialists,labor-relations-specialists-131075
13-1081,Logisticians,logisticians-131081
13-1082,Project Management Specialists,project-management-specialists-131082
13-1111,Management Analysts,management-analysts-131111
13-1121,"Meeting, Convention, and Event Planners",meeting-convention-and-event-planners-131121
13-1131,Fundraisers,fundraisers-131131
13-1141,"Compensation, Benefits, and Job Analysis Specialists",compensation-benefits-and-job-analysis-specialists-131141
13-1151,Training and Development Specialists,training-and-development-specialists-131151
13-1161,Market Research Analysts and Marketing Specialists,market-research-analysts-and-marketing-specialists-131161
13-1199,"Business Operations Specialists, All Other",business-operations-specialists-all-other-131199
13-2011,Accountants and Auditors,accountants-and-auditors-132011
13-2022,Appraisers of Personal and Business Property,appraisers-of-personal-and-business-property-132022
13-2023,Appraisers and Assessors of Real Estate,appraisers-and-assessors-of-real-estate-132023
13-2031,Budget Analysts,budget-analysts-132031
13-2041,Credit Analysts,credit-analysts-132041
13-2051,Financial and Investment Analysts,financial-and-investment-analysts-132051
13-2052,Personal Financial Advisors,personal-financial-advisors-132052
13-2053,Insurance Underwriters,insurance-underwriters-132053
13-2054,Financial Risk Specialists,financial-risk-specialists-132054
13-2061,Financial Examiners,financial-examiners-132061
13-2071,Credit Counselors,credit-counselors-132071
13-2072,Loan Officers,loan-officers-132072
13-2081,"Tax Examiners and Collectors, and Revenue Agents",tax-examiners-and-collectors-and-revenue-agents-132081
13-2082,Tax Preparers,tax-preparers-132082
13-2099,"Financial Specialists, All Other",financial-specialists-all-other-132099
15-1211,Computer Systems Analysts,computer-systems-analysts-151211
15-1212,Information Security Analysts,information-security-analysts-151212
15-1221,Computer and Information Research Scientists,computer-and-information-research-scientists-151221
15-1231,Computer Network Support Specialists,computer-network-support-specialists-151231
15-1232,Computer User Support Specialists,computer-user-support-specialists-151232
15-1241,Computer Network Architects,computer-network-architects-151241
15-1242,Database Administrators,database-administrators-151242
15-1243,Database Architects,database-architects-151243
15-1244,Network and Computer Systems Administrators,network-and-computer-systems-administrators-151244
15-1251,Computer Programmers,computer-programmers-151251
15-1252,Software Developers,software-developers-151252
15-1253,Software Quality Assurance Analysts and Testers,software-quality-assurance-analysts-and-testers-151253
15-1254,Web Developers,web-developers-151254
15-1255,Web and Digital Interface Designers,web-and-digital-interface-designers-151255
15-1299,"Computer Occupations, All Other",computer-occupations-all-other-151299
15-2011,Actuaries,actuaries-152011
15-2021,Mathematicians,mathematicians-152021
15-2031,Operations Research Analysts,operations-research-analysts-152031
15-2041,Statisticians,statisticians-152041
15-2051,Data Scientists,data-scientists-152051
15-2099,"Mathematical Science Occupations, All Other",mathematical-science-occupations-all-other-152099
17-1011,"Architects, Except Landscape and Naval",architects-except-landscape-and-naval-171011
17-1012,Landscape Architects,landscape-architects-171012
17-1021,Cartographers and Photogrammetrists,cartographers-and-photogrammetrists-171021
17-1022,Surveyors,surveyors-171022
17-2011,Aerospace Engineers,aerospace-engineers-172011
17-2021,Agricultural Engineers,agricultural-engineers-172021
17-2031,Bioengineers and Biomedical Engineers,bioengineers-and-biomedical-engineers-172031
17-2041,Chemical Engineers,chemical-engineers-172041
17-2051,Civil Engineers,civil-engineers-172051
17-2061,Computer Hardware Engineers,computer-hardware-engineers-172061
17-2071,Electrical Engineers,electrical-engineers-172071
17-2072,"Electronics Engineers, Except Computer",electronics-engineers-except-computer-172072
17-2081,Environmental Engineers,environmental-engineers-172081
17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",health-and-safety-engineers-except-mining-safety-engineers-and-inspectors-172111
17-2112,Human Factors Engineers and Ergonomists,human-factors-engineers-and-ergonomists-172112
17-2121,Marine Engineers and Naval Architects,marine-engineers-and-naval-architects-172121
17-2131,Materials Engineers,materials-engineers-172131
17-2141,Fuel Cell Engineers,fuel-cell-engineers-172141
17-2151,"Mining and Geological Engineers, Including Mining Safety Engineers",mining-and-geological-engineers-including-mining-safety-engineers-172151
17-2161,Nuclear Engineers,nuclear-engineers-172161
17-2171,Petroleum Engineers,petroleum-engineers-172171
17-2199,"Engineers, All Other",engineers-all-other-172199
17-3011,Architectural and Civil Drafters,architectural-and-civil-drafters-173011
17-3012,Electrical and Electronics Drafters,electrical-and-electronics-drafters-173012
17-3013,Mechanical Drafters,mechanical-drafters-173013
17-3019,"Drafters, All Other",drafters-all-other-173019
17-3021,Aerospace Engineering and Operations Technologists and Technicians,aerospace-engineering-and-operations-technologists-and-technicians-173021
17-3022,Civil Engineering Technologists and Technicians,civil-engineering-technologists-and-technicians-173022
17-3023,Electrical and Electronic Engineering Technologists and Technicians,electrical-and-electronic-engineering-technologists-and-technicians-173023
17-3024,Electro-Mechanical and Mechatronics Technologists and Technicians,electro-mechanical-and-mechatronics-technologists-and-technicians-173024
17-3025,Environmental Engineering Technologists and Technicians,environmental-engineering-technologists-and-technicians-173025
17-3026,Nanotechnology Engineering Technologists and Technicians,nanotechnology-engineering-technologists-and-technicians-173026
17-3027,Mechanical Engineering Technologists and Technicians,mechanical-engineering-technologists-and-technicians-173027
17-3028,Calibration Technologists and Technicians,calibration-technologists-and-technicians-173028
17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",engineering-technologists-and-technicians-except-drafters-all-other-173029
17-3031,Surveying and Mapping Technicians,surveying-and-mapping-technicians-173031
19-1011,Animal Scientists,animal-scientists-191011
19-1012,Food Scientists and Technologists,food-scientists-and-technologists-191012
19-1013,Soil and Plant Scientists,soil-and-plant-scientists-191013
19-1021,Biochemists and Biophysicists,biochemists-and-biophysicists-191021
19-1022,Microbiologists,microbiologists-191022
19-1023,Zoologists and Wildlife Biologists,zoologists-and-wildlife-biologists-191023
19-1029,"Biological Scientists, All Other",biological-scientists-all-other-191029
19-1031,Conservation Scientists,conservation-scientists-191031
19-1032,Foresters,foresters-191032
19-1041,Epidemiologists,epidemiologists-191041
19-1042,"Medical Scientists, Except Epidemiologists",medical-scientists-except-epidemiologists-191042
19-1099,"Life Scientists, All Other",life-scientists-all-other-191099
19-2011,Astronomers,astronomers-192011
19-2012,Physicists,physicists-192012
19-2021,Atmospheric and Space Scientists,atmospheric-and-space-scientists-192021
19-2031,Chemists,chemists-192031
19-2032,Materials Scientists,materials-scientists-192032
19-2041,Climate Change Policy Analysts,climate-change-policy-analysts-192041
19-2042,"Geoscientists, Except Hydrologists and Geographers",geoscientists-except-hydrologists-and-geographers-192042
19-2043,Hydrologists,hydrologists-192043
19-2099,"Physical Scientists, All Other",physical-scientists-all-other-192099
19-3011,Economists,economists-193011
19-3022,Survey Researchers,survey-researchers-193022
19-3032,Industrial-Organizational Psychologists,industrial-organizational-psychologists-193032
19-3033,Clinical and Counseling Psychologists,clinical-and-counseling-psychologists-193033
