SOC Broad Occupation,Title,soc_lvl_2
11-1010,Chief Executives,chief-executives-111010
11-1020,General and Operations Managers,general-and-operations-managers-111020
11-1030,Legislators,legislators-111030
11-2010,Advertising and Promotions Managers,advertising-and-promotions-managers-112010
11-2020,Marketing Managers,marketing-managers-112020
11-2030,Public Relations Managers,public-relations-managers-112030
11-3010,Administrative Services Managers,administrative-services-managers-113010
11-3020,Computer and Information Systems Managers,computer-and-information-systems-managers-113020
11-3030,Investment Fund Managers,investment-fund-managers-113030
11-3050,Industrial Production Managers,industrial-production-managers-113050
11-3060,Purchasing Managers,purchasing-managers-113060
11-3070,"Transportation, Storage, and Distribution Managers",transportation-storage-and-distribution-managers-113070
11-3110,Compensation and Benefits Managers,compensation-and-benefits-managers-113110
11-3120,Human Resources Managers,human-resources-managers-113120
11-3130,Training and Development Managers,training-and-development-managers-113130
11-9010,"Farmers, Ranchers, and Other Agricultural Managers",farmers-ranchers-and-other-agricultural-managers-119010
11-9020,Construction Managers,construction-managers-119020
11-9030,"Education and Childcare Administrators, Preschool and Daycare",education-and-childcare-administrators-preschool-and-daycare-119030
11-9040,Architectural and Engineering Managers,architectural-and-engineering-managers-119040
11-9050,Food Service Managers,food-service-managers-119050
11-9070,Gambling Managers,gambling-managers-119070
11-9080,Lodging Managers,lodging-managers-119080
11-9110,Medical and Health Services Managers,medical-and-health-services-managers-119110
11-9120,Natural Sciences Managers,natural-sciences-managers-119120
11-9130,Postmasters and Mail Superintendents,postmasters-and-mail-superintendents-119130
11-9140,"Property, Real Estate, and Community Association Managers",property-real-estate-and-community-association-managers-119140
11-9150,Social and Community Service Managers,social-and-community-service-managers-119150
11-9160,Emergency Management Directors,emergency-management-directors-119160
11-9170,Funeral Home Managers,funeral-home-managers-119170
11-9190,"Managers, All Other",managers-all-other-119190
13-1010,"Agents and Business Managers of Artists, Performers, and Athletes",agents-and-business-managers-of-artists-performers-and-athletes-131010
13-1020,"Buyers and Purchasing Agents, Farm Products",buyers-and-purchasing-agents-farm-products-131020
13-1030,"Claims Adjusters, Examiners, and Investigators",claims-adjusters-examiners-and-investigators-131030
13-1040,Environmental Compliance Inspectors,environmental-compliance-inspectors-131040
13-1050,Cost Estimators,cost-estimators-131050
13-1070,Human Resources Specialists,human-resources-specialists-131070
13-1080,Logisticians,logisticians-131080
13-1110,Management Analysts,management-analysts-131110
13-1120,"Meeting, Convention, and Event Planners",meeting-convention-and-event-planners-131120
13-1130,Fundraisers,fundraisers-131130
13-1140,"Compensation, Benefits, and Job Analysis Specialists",compensation-benefits-and-job-analysis-specialists-131140
13-1150,Training and Development Specialists,training-and-development-specialists-131150
13-1160,Market Research Analysts and Marketing Specialists,market-research-analysts-and-marketing-specialists-131160
13-1190,"Business Operations Specialists, All Other",business-operations-specialists-all-other-131190
13-2010,Accountants and Auditors,accountants-and-auditors-132010
13-2020,Appraisers of Personal and Business Property,appraisers-of-personal-and-business-property-132020
13-2030,Budget Analysts,budget-analysts-132030
13-2040,Credit Analysts,credit-analysts-132040
13-2050,Financial and Investment Analysts,financial-and-investment-analysts-132050
13-2060,Financial Examiners,financial-examiners-132060
13-2070,Credit Counselors,credit-counselors-132070
13-2080,"Tax Examiners and Collectors, and Revenue Agents",tax-examiners-and-collectors-and-revenue-agents-132080
13-2090,"Financial Specialists, All Other",financial-specialists-all-other-132090
15-1210,Computer Systems Analysts,computer-systems-analysts-151210
15-1220,Computer and Information Research Scientists,computer-and-information-research-scientists-151220
15-1230,Computer Network Support Specialists,computer-network-support-specialists-151230
15-1240,Computer Network Architects,computer-network-architects-151240
15-1250,Computer Programmers,computer-programmers-151250
15-1290,"Computer Occupations, All Other",computer-occupations-all-other-151290
15-2010,Actuaries,actuaries-152010
15-2020,Mathematicians,mathematicians-152020
15-2030,Operations Research Analysts,operations-research-analysts-152030
15-2040,Statisticians,statisticians-152040
15-2050,Data Scientists,data-scientists-152050
15-2090,"Mathematical Science Occupations, All Other",mathematical-science-occupations-all-other-152090
17-1010,"Architects, Except Landscape and Naval",architects-except-landscape-and-naval-171010
17-1020,Cartographers and Photogrammetrists,cartographers-and-photogrammetrists-171020
17-2010,Aerospace Engineers,aerospace-engineers-172010
17-2020,Agricultural Engineers,agricultural-engineers-172020
17-2030,Bioengineers and Biomedical Engineers,bioengineers-and-biomedical-engineers-172030
17-2040,Chemical Engineers,chemical-engineers-172040
17-2050,Civil Engineers,civil-engineers-172050
17-2060,Computer Hardware Engineers,computer-hardware-engineers-172060
17-2070,Electrical Engineers,electrical-engineers-172070
17-2080,Environmental Engineers,environmental-engineers-172080
17-2110,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",health-and-safety-engineers-except-mining-safety-engineers-and-inspectors-172110
17-2120,Marine Engineers and Naval Architects,marine-engineers-and-naval-architects-172120
17-2130,Materials Engineers,materials-engineers-172130
17-2140,Fuel Cell Engineers,fuel-cell-engineers-172140
17-2150,"Mining and Geological Engineers, Including Mining Safety Engineers",mining-and-geological-engineers-including-mining-safety-engineers-172150
17-2160,Nuclear Engineers,nuclear-engineers-172160
17-2170,Petroleum Engineers,petroleum-engineers-172170
17-2190,"Engineers, All Other",engineers-all-other-172190
17-3010,Architectural and Civil Drafters,architectural-and-civil-drafters-173010
17-3020,Aerospace Engineering and Operations Technologists and Technicians,aerospace-engineering-and-operations-technologists-and-technicians-173020
17-3030,Surveying and Mapping Technicians,surveying-and-mapping-technicians-173030
19-1010,Animal Scientists,animal-scientists-191010
19-1020,Biochemists and Biophysicists,biochemists-and-biophysicists-191020
19-1030,Conservation Scientists,conservation-scientists-191030
19-1040,Epidemiologists,epidemiologists-191040
